id,document,label
9715472,주인공 심리에 동화시키는 전개가 상당히 흥미진진 함,1
7579567,지루하기 짝이 없음,0
9282143,육군사관학교 최초합 가자,1
9463510,초반엔 좋았는데 가면갈수록 시나리오가 산으로감.. 6점정도인데 평점 조정용으로 1점 드림..,0
7702018,여운이 남고 생각하게하는영화 모든사람에게보여주고싶은 영화다!! 10점이모자람,1
5503045,남들이 안하는짓 하는게 에술이 아니라오,0
2001936,내가 커피와 담배를 즐긴다는 사실이 흡족했던 영화,1
6106098,카오루가 너무이뻐서 영화에 집중이안됬다. 끝내 허탈했다 웃음이 나온다 허허허.....,0
9076344,솔까말 그래픽뺴고 요즘은 변한게없슴 ㅇㅇ 78년도 치고 졸라잘만든거,1
9288796,영화가 짧아서 엄청빨리끝난것같은~~춤이란것은참으로위대한예술이네요..사람과에소통도빠르구맘전달도빠르구..,1
10231020,최고 b 잘봤어요bbbb,1
9042862,다시 공평하게 시작하시죠,0
8756970,이 영화 이후로 인도영화 조금씩 찾아봤다,1
10234822,진짜 액션 영화의 정석이다!! 재밌게 봄!!,1
10257123,정말대단합니다 감독님 감독자리 포기해주세요 국민들을위해서라도,0
9414548,괴도키드랑코난중에누가이길까,1
9650036,실화라고 마케팅하고 구라판명 나니까 슬그머니 얼버무리고... 그냥 연출로 보면 머리 잘쓴건데 괜시리 거짓 마켓팅해서 오히려 마이너스... 카메라 워크가 불편해서 멀미난다.,0
8601133,나도 저런 부모님이 있었으면..,1
9265735,희대의 망작의 망작중의 망작영화,0
9769155,꿀잼 반전을거듭하는 재밌는 영화!2편이 기대된다,1
10255758,정말 재밌어요! 감동적이기도 하고요ㅎㅎ 꼭 봐야합니다!,1
3506553,그 어느 놈도 멋지지 않다,0
7000148,1점을 쏴 어서 알바질이냐. 쥔짜~~ 어휴ㅉㅉ,1
731865,정말 멋진 영화!!!,1
3140764,이거 잼뜬데.. 평점이 낮네..특히 그 벤인가? 그 갓난아이..,1
9261156,"밑도 끝도 없는 감정선 , 지나친 작위적 분위기 현실적이지 않아 설득력이 없는 내용이 클리셰에 가까운 재미없는 영화.",0
9247494,기대 안하고 봤는데 오랜만에 보는 정말 좋은 코미디 영화였습니다,1
2603298,성룡영화중 가장진지한 영화...절때 웃지않는다,1
8773518,이게 한쿡영화의 현실이다...,0
8898513,윤아가 안맞는건데 왜 이 영화에다가 별점 테러를 함? 이 영화랑 윤아랑 전혀 상관 없는데... 모자르신건가들?,1
9811061,감독 면상에 쏘고 싶다..,0
7534711,숨은 가수 노아 출연시켜주세요~~~~!!!,1
10244368,상어땜에 1점깎음ㅅㄱ,0
3142711,느와르 시절 유덕화 주윤발을 내세워 나왔지만 솔직히 그리 끌리는 작품은 아님,0
9120734,긴장감 없는 영상과 카메라.. 억지스러운 반전..범인은 가스줄 끌고 다니랴 사람들 죽이랴 고생 쫌 했겠음..,0
9005696,아.. 한숨만나옴..아낙수나문의 부활 뭐 이런걸 기대했는데.뭐임?심지어만화도스토리가있건만.이건.피라미드 탐험만하다가 끝.출연진들 왜이럼? 앞짱구여자 빌빌거리다 피 몇방울내주고.점술사는종일찡찡거리다끝남. 졸업작품찍은줄앎. 작품이라는단어도아까움.,0
5279634,"전문가 평점은 역시 믿을게 못돼. B급영화. 무섭지도,스릴도,재미도,감동도 없는영화.",0
5884377,목소리만 커졌을뿐 전편의 호쾌함을 찾아볼순없다.,0
2644148,"너무 재미있어요.^0^ 내 생애 최고의 드라마!!! 동철, 동화, 선희 잊지 않을거에요..",1
7447695,결과주의적영화.,0
331974,미국우월주의에 대표적인 영화.. 쓰레기.. ㅉㅉ,0
5471820,사랑하는 사람들과 같이 보고 싶은 영화,1
1872034,아 에로 영화감독...,0
9943432,영어를 쓰려면 제대로 쓰던지 아니면 한국말이나 똑바로 하던지 대사가 소름돋아서 못보겠네 진짜 배우들 원래 영어 못하는거 다 티나요,0
9039027,가진자와 갖지못한자가 사는세상은 너무나도다르다,1
9207852,평점이 하도 낮아서 내가 보고 평가해 봤다 ... 결말이 없다 ... 시간 아깝다,0
6053282,음산하나 너무 지루하다...,0
9442608,",.,.,.,.,.",0
9932461,"괴물이 될 수 밖에 없게 만드는 사회, 나는 그래서 몬스터가 되었다.",1
8488647,힙합관련 영화 중 최고!!,1
9819414,일급살인....감옥영화중에 세손가락이라 생각한다 쑈생크탈출 빠삐용,1
9941693,이것이 모든 것의 시작일 줄이야7년 전의 나는 전혀 몰랐지,1
8187528,진짜 재미없네요. 개봉한 다음날 11/22일에 별점 5개 준 분들이 다섯분이나 된다는게 전 더 재밌군요,0
1335635,이 펭귄들 너무 좋아^^,1
9881357,다운로드 좀 풀어줘~~,1
5016573,"김기덕 감독의 영화를 좋아하지만, 이 영화는 좀 아니다..",0
10180310,다른영화에서 이영화의 마지막장면이 나온다면반갑겠지만 이영화에선 오히려 원망스럽다,1
8737313,진짜 완벽했었는데 끝이 뭔가 아쉬웠어요. 그래도 최고!!,1
5696448,처음으로 영화를 보다 잠이들다.,0
5261024,"보고나서 많은 생각이 드는,,, 청춘의 막막함이 느껴지는 영화",1
5445991,공짜로보는법알려드릴?,1
8342057,명작중의명작이다ㄷㄷㄷ,1
7507461,협상하는 척 하다 연애모드 가더니 고작 한다는 게 전쟁놀이,0
7363130,이영화 케이블티비에도 안나올것같은데 ㅋㅋㅋㅋㅋ 친구는 토렌트로 받아서 봤는데 다운받는시간이아깝다고함 ㅋㅋㅋㅋㅋㅋ.,0
9280476,문보령 만 살아남는 영화 하..,1
7645129,몬태나의 아름다움~!,1
1204644,모냐 절라 재미읍어 ㅋㅋ,0
6759497,이성재 불쌍 처음시나리오랑 결과물이랑 완전 달랐다던데 결과보고 빡쳤을듯,0
7879822,보다 잤다... 결말이 궁금하긴 하다...,0
8929464,제잠스는요 1점입니더,0
8233285,짝좀 맞춰줘봐여 어떻게 항상 남자는 많고 여자는 적어 ㅋㅋㅋ,0
9750304,정말 전설이죠. 다시없을 영화입니다.,1
8755638,진짜 이건 진짜진짜 내가 본 드라마중에 진짜진짜 최고...ㅠㅠㅠ계속계속 나와라...ㅠ,1
9543777,이런 공포가 좋다 메세지도 있고 재미있다,1
4634598,엄청 재밌군,0
8738385,OO넘은 영화인줄...좀 촌스러운 잔잔함ㅜㅜ반전.. 너무 찝찝해요,0
