,review,label
0,가슴|이|먹먹|하|고|아름다운|영화,1
1,아|놔|이|아저씨|너무|웃겨|ㅋㅋㅋ,1
2,오글거리|고|눈살|을|찌푸리|게|만들|정도|로|진부|하|고|쥐어짜|는|눈물|.,0
3,막장|영화|따위,0
4,의외|로|재밌|던|걸|~~,1
5,그냥|진짜|재미|가|없|어요,0
6,8|점|주|려다가|너무|낮|아서|좀|올라가|라고|10|점|나름|재미있|길래|검색|했|더니|티아라|맴|버|가|나오|는군요|;;|티아라|얼굴|을|모르|므로|.|.;;,1
7,어|이|없|는|마지막|10|분,0
8,참새|들|이|냐|.|...|아|유치|.|..|스토리|그냥|화난다|.|...,0
9,이거|방영|할|때|가|초등학생|일|때|였|는데|결말|보|고|완전|빡|친|.|..,1
10,러닝|타임|견디|는|게|고문|이|였|음|;;;,0
11,배경|이|다|CG|라는|데|영상미|하나|는|진짜|최고|임,1
12,환|타지|같이|공감|이|전혀|안|되|는|드라마,0
13,전편|이|좋|았|다,0
14,첫판|보단|마음|에|들|지|않|지만|괜찮|습니다|.,1
15,처음|엔|재미있|었|는데|.|..|아쉽|다|.|..|이제훈|이랑|유아인|이|아까울|뿐|.|..........,0
16,"미안|한데|내|가|영화|과|나왔|다|.|이|영화|쓰레기|다|,|보|지|마|라|.",0
17,정말|좋|았|다|!|최고|!|!!,1
18,난|왜|눈물|이|날까,1
19,허어|어|어|얼|ㅋㅋㅋ|이거|재미없|엉,0
20,안|귀여워|여,0
21,약하|다|!|!|무릎|팍|나올|시간|에|영화|에|더|투자|했|다면|.|....,0
22,코미디|영화|계|의|디워|.|..|이건|뭐|시나리오|도|없이|찍|은|수준|ㄷ|ㄷ|ㄷ,0
23,이|드라마|를|보|고|신선|한|자극|을|받|았|다|.|1|주일|간|속앓이|한듯,1
24,이수정|이|한지훈|한테|강한|사람|이|니까|견뎌|라|이런|식|으로|말|할|때|채널|돌림|ㅋ|내|가|이때|까지|왜|봤|나|싶|다|.|안|본다|이제|.,0
25,동물|을|사랑|하|자|!|!!|암튼|재미|는|좆|to|the|망,0
26,감독|이|나쁜|녀석|이|다|.|..,0
27,"최고|,|정말|최고|다|,|,",1
28,선동|영화,0
29,정말|풋풋|한|내용|이|내용|감동|받|았|어용|우울|한|현대|시대|를|잘|표현|한|거|같|내영|손녀|의|마음|이|할아버지|를|감동|시키|고|부모|를|이어지|게|하|고|이런|딸|하|나|있|으면|행복|하|겠|어용|잘|봤|습니당,1
30,이게|93|년|작|이|다|!|이게|!,1
31,와|11|등|이|네|한국|영화|중|에서|진짜|드물|다|이런|경우|ㅋㅋ,0
32,무슨|말|하|는|영화|냐|~~|만화책|으로|나왔|으면|사람|얼굴|만|나와서|말|만|나오|는|거|같|다,0
33,ㅋㅋ|평점|3|점|인|줄|알|았|더니|으|외로|높|네요,0
34,제니퍼|로랜스|연기|개|잘|해요,1
35,진심|재미없|음|.,0
36,그래도|보|고|후회|는|없|다,1
37,복수|로|시작|해서|연민|사랑|.|.|죽|을|병|을|가진|늙은이|와|술집|접대부|아가씨|.|진부|해|보일|수|있|다|.,0
38,이태임|은|당장|연예계|복귀|하|라|!|남성|팬|들|이|울부짖|고|있|다|!,0
39,너무|난해|하|고|추상|적|detail|에|집중력|이|다소|떨어지|는|영화|.,1
40,총질|게임|과|헐리|웃|오버액션|영화|가|진짜|전쟁|씬|인|줄|아|는|ㅂ|ㅅ|들|이|있|네|.|..|머리|에|든|거|없|는|애|들|이|진짜|전쟁터|에서|총알받이|되|봐야|아|이게|전쟁|이|구하|할|련지|붕|탁|들|.|.,1
41,마지막|1|분|까지|무서운|영화|?|ㅋㅋㅋ|영화|는|더럽|게|잼|없|구|하나|두|안|무섭|다|.|무섭|기|는|개뿔|뻔뻔|해서|소름|돋|는다|.,0
42,그지|같|음|왜|18|세|인지|도|모르|겠|고|다|아|는|얘기|고|그냥|공포|영화|보|고|싶|으면|1|편|만|보|고|끄|세요,0
43,전형|적|이|지만|지루|하|지|않|은|영화|.|잭|과|션|의|마음|이|참|예쁘|다|.,1
44,이렇게|OO|같|은|영화|는|또|처음|보네,0
45,딱|말|해|준다|잉|안|나온다,0
46,솔직히|이번|편|은|너무|실망|스럽|다|그림|체도|엉성|하|고|스토리|도|영|뭔가|정성|이|많이|빠졌|다고|할까,0
47,최고|다|무슨|말|이|필요|할까,1
48,미스|캐스팅|에|공감|이|안|가|는|소|트리|.|위트|넙치|는|대사|는|좋|음,0
49,재밌|게|봄|.,1
50,1|점|주|는|것|도|아까움,0
51,문근영|을|위한|영화|.|.,1
52,아악|밑|에|분|설명|ㅋㅋ|ㅋㅋ,0
53,지브리|계속|되|면|좋|겠|구만|.|.,1
