,review,label
0,참|.|...........|답|없|는|영화|한편|추가|요|!|!!!|영화|참|자|~~|알|만|드셨|네요,1
1,굿,1
2,주변|에|적|은|만들|지|말|자|라는|교훈|을|얻|었|다|.,1
3,재|기발|랄|.|최고|의|성장|영화|.,1
4,정말|좋|았|다|!|최고|!|!!,1
5,"재밌|네|,|,|재밌|다|.|끝|까지|지루|하|지|않|고|보|는|싸구려|7|광|군지|돈|쳐|들|인|영화|들|보다|낫|네",1
6,마지막|화|빼|고|볼|만|하|다가|아니|라|재밌|다|그냥|ㅇㅇ,1
7,스텝업|짱|임,1
8,처음|오토바이|개|허|세씬|부터|알|아|봤|다|.|밑|도|끝|도|없이|괴물|부터|나오|네,0
9,"ceo|1|****|께서|지민|이|에|대해|물|어|봐|주|셨|는데|,|제|생각|엔|지민|이|는|세상|을|떠나|지|않|았|을까|라는|'|예상|'|을|해|봅니다|.|아이|들|이|실종|되|면|그|아이|들|의|물건|을|관찰|하|는|데|일반|적|으로|현세|에|미련|이|없|는|아이|들|은|자신|의|물건|을|챙기|지|는|않|기|때문|입니다",1
10,배경|이|다|CG|라는|데|영상미|하나|는|진짜|최고|임,1
11,다소|잔인|한|소재|를|다루|지만|푸|는|방식|이|신박|하|다|.|굿|.,1
12,요|정도|가지|고|미국|영화|를|물리친다는|것|은|한|여름밤|의|꿈|이|다|.|분발|하|라|.,0
13,"리|는|책임감|이|강하|다|,|받|은|걸|고스란히|돌려주|는|사람|이|다|.|스스로|사랑|하|는|법|을|몰랐|고|,|그래서|애정|에|집착|했|다|.|그녀|는|사랑|받|기|원했|다|.|그녀|주위|에서|그녀|에게|책임지|길|원했|고|,|그|결과|는|그녀|혼자|감당|해야|했|다|.|단순히|영화|평|이|지만|,|닮|았",1
14,"원|컷|이|였|다는|점|에서|5|점|,|시간|이|갈수록|결말|예상|에|-|1|점|나름|반전|영화|긴|한데|.|..|ㅋㅋㅋ|휴",0
15,모|랄까|.|....|참|좋|은|영화|다|.,1
