id,document,label
10105032,해운대에서 나오는 주인공들이 나와서 더더욱 재밋엇다,1
2006265,요즘 케이블 티비 리얼다큐보다 더 막장...,0
6933742,이간첩새끼만든영화봐라..,0
9906435,이 영화 완전 쓰레기임.노잼,0
5462586,부부 스타쇼 토크 변형이지.. 지루하기만 하다,0
8578255,육중완 나오눈 부분은 빨리감기로 넘겨버리고.짜증난다. 화난다.열받는다.그 지저분한 머리즘 어떻게 안돼는건가.전현무도 싫었는데 이 사람은 정말 눈뜨고 볼수가없다,0
130852,더 이상의 표현이 있을까....,1
6988139,티비에서 하길래 봤는데 OO 재밌자나ㅠㅠㅠ 난 진짜 평점땜에 놓친 영화 개 많은듯... 평점 구려서 안 보다가 나중에 티비나 다운받아 보면 개재미,1
5612849,지루한 초중반과 몰아치는 최고의 후반. 후반의 액숀들은 놀랄정도로 정교하다.,1
10252253,배우와 드럼만 가지고 관객을 놀래킨 영화,1
10116767,앞으로도 이 영화를 뛰어넘을 영화는 없을 것 같다,1
2135855,예뻐,1
9754756,"좋은 영화 입니다, 이시대의 알아야 할 우리의 의무 입니다",1
7974086,역대 최악의 영화.,0
9847684,"시퀄을 빙자한 뮤직비디오같기도 하고, 시퀄을 흉내낸 LG 홍보물같기도 하고",0
4320511,드라마에서 흔히 볼 만한 진부한 스토리. 딱히 재밌지도 않다.,0
5993944,0점 주고싶은데 클릭이 안되네 ㅋ k팝스타나봐 ㅋ,0
3439773,식상하다...,0
2613448,굿~!,1
162292,나야 송승헌씨만 나오면 뭐든 다 너무 좋으니깐...,1
1311358,티모시 달튼도 007 배역 잘 어울리네..,1
6906382,고전적인 영상미의 역효과. 재활용도 안되는 쓰레기.,0
7280853,하나같이 빛났던 연기자들의 명연기와 기가 막힌 시나리오...수작. 링크 타고 본 소감 남겨 봅니다. 아직도 이 영화를 소장하고 있어요..^^,1
8929135,"평점 이건 아니잖아. 졸라 지루하고, 1시간30분의 러닝타임도 감독이 시간이 남아돌아 억지로 러닝타임 채울려고 음악배경으로 시간 질질 끌고... 최악이구만. 아무리 저예산 국산영화 살리기라지만, 이건 아니잖아. 제대로 평점들 메겨라. 낚시질좀하지말고",0
7172966,ㅋㅋ재밌겟다.,1
3274238,"나홀로 1개대대를 때려잡는,, 마지막엔딩이 슬프다",1
8941106,빠른 전개로 몰입하고 봤어요. 박하선씨는 연기 많이 느신 것 같아요~ 최지우 권상우씨 케미 폭발ㅎㅎ,1
917714,충격적이면서도 인간내면을 리얼리티하게 잘 표현했다!,1
9213056,기분좋아지게하는 영화,1
3948898,"애니가 아니어서 훨신 좋았던 영화, 보는사람마다 별10에서 별1일수있는영화",1
3228082,프랑스판 멍청이들이 나와 웃기려고 엄청 노력한다 하지만 부족 부족,0
6095726,쵝오!,1
8747964,영봐 보다 이렇게 딴생각한건 처음입니다.,0
7543294,"영화 신세계 마지막 장면에서 황정민이 말한 떡영화가 이거군요,, 돈주고 성교 연기하는거나 돈주고 성교하는 거나,, 쯧쯧쯧",0
4055362,3편이 시리즈의 무덤이 된다는 정설을 확인시킨 영화.,0
9855376,이 영화 결말에서 뭔가 특별한걸 기대한다면 .. 그런거 없다. 이렇게 맹물처럼 끝날줄이야,0
7522366,"언제까지 이런 쓰레기 빨갱이 선동 역사왜곡 영화가 그만 나올련지, 빨간 성향을 가진 감독이 주입하는 빨간 역사왜곡.. 제주 4,3 사건은 명백한 남로당 반란 사건입니다. 국가를 전복시킬려고 한 이 사건이죠. 대한민국을 부정한 사건입니다.",0
4602276,비판하고싶지않은영화,1
9299354,평점이 높아서 봤는데 딱 싫어하는 스타일..,0
10133486,짐캐리 배우는 정말 멋지다!,1
7005041,평점관리,1
8908195,사무라이??? ㅎㅎㄹ나는 별로...,0
9967701,재밋음 꼭보세요 !!!,1
8721744,깊이 있고 여운이 남는 영화배우들 연기가 인상적이네요,1
9572095,재밌기 보다는 의미있는 영화..,1
9250695,박수 쳐주고 싶은 연출과 각본,1
9538232,와우 진짜 유쾌 통쾌 영화 보는내내 지루함이 한번도 없었어요 제가 다 속이 시원했어요 주인공의 완벽한 두뇌로 복수를 계획하는것 또한 영화읮긴장감을 더해주었어요ㅋ,1
6584017,말이 되니? 사거리예식장은 뭐고 채원이 시댁에 들어가 산다니 아무리 드라마지만 정도껏해라이~~ 보고있는 내가 한심타!,0
2033709,사랑해 사랑해 베티 너무 사랑해,1
7227336,둘다 이쁨,1
7328540,ㅋㅋㅋ하하하보다 더 귀엽고 웃긴데요..홍감독님 영화치고.. 극적인 재미가 있네요..,1
3315257,뭔가 심오한 대사들.. 우울한 배경까지 그냥 좋다..,1
7588375,이 영화 꼭 다시 한번 더 보고 싶습니다,1
9536195,화려했던 액션인 옹박이 B급 싸구려 액션으로 전락해버리는 영화가 안타깝다. 한 때 유망했던 액션 배우 토니 자는 그저 한물간 배우가 되어 버린 것 같다.,0
5392347,뚝 떨어진 재미와 퀄리티,0
8198615,좀 더 치밀한 스릴러였어야 했다. 스릴러를 찍고 싶었다면 이렇게 허술해서는 안된다. 특히 클라이맥스 엔딩씬은...할 말이 없다.,0
9710869,연기로만으로도 10점을 주고 싶다,1
9678281,진지한건 좋은데 스토리 자체가 흡입력이 부족하고 늘어지기만 한다 타이틀을 바꾸는 것이 더 좋았을 걸...[폴리스 스토리] 속편으로는 어울리지 않는다,0
4269235,...내가 이걸 왜 봤지...?근데 애들 많으니깐 다구리 진리다;;,0
9621350,잼없어요정말로진짜로,0
9234905,이거 예전에 죄와벌이라는 MBC법정드라마에서 나왔는데. 조금 와전되있는거 같은 유전무죄 무전유죄 이말때문에 +1점 플러스해서 2점드릴께요 .,0
9737470,가이 리치의 젊은 센스와 재기가 넘치던 시기.,1
8607396,이런 웰메이드 작품이 시청률 2.5프로가 말이되냐 모든 출연진 캐스팅과 연기력이 이렇게 완벽한 드라마는 이게 처음이다.,1
6526590,이건뭐...심각하네... 영화 왜만들었을까....지금이 90년도였어도 흥행은 못했을 수준...,0
6483659,사이몬페그의 익살스런 연기가 돋보였던 영화!스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다,1
3599212,부족한 스토리/연출력/발연기// 허접한 한국영화의 전형..,0
3376096,정말 가슴이 따뜻해지는 영화.. 크리스마스나 연말이 되면 늘 생각나는 영화..,1
8204322,힐링되는 음악 영화네요^^,1
9511730,1편을 능가하는 크리스마스 영화에 진정한 레전드오브레전드!,1
9436113,내 생애 최고의 영화 중 하나.,1
2046448,아 진짜 재밋는데 ~ㅜㅜ ㅋㅋ,1
9255366,오다.. 가다.. 하다.,0
